id_pedido,dt_pedido,fl_ketchup,desc_uf,txt_recado
0,2023-05-11T10:59:33.000+0000,null,GO,null
1,2023-05-11T11:23:42.000+0000,null,PR,Aquela pizza perfeita! :-D
2,2023-05-11T11:24:29.000+0000,null,SP,Muito obrigado!!
3,2023-05-11T11:29:39.000+0000,null,SP,null
4,2023-05-11T11:31:30.000+0000,null,RS,Capricha no peperoni
5,2023-05-11T11:32:44.000+0000,null,SP,null
6,2023-05-11T11:47:54.000+0000,null,CE,Espero que não dropem minha pizza ^^
7,2023-05-11T11:52:31.000+0000,null,SP,Forno a lenha por favor.
8,2023-05-11T12:01:49.000+0000,null,GO,null
9,2023-05-11T12:18:25.000+0000,TRUE,RJ,null
10,2023-05-11T12:19:47.000+0000,TRUE,GO,"Amo vocês, quero dividir a pizza com vocês ♥️"
11,2023-05-11T12:45:48.000+0000,TRUE,MG,Certeza que vai ser um evento sensacional como todos os que participei desde quando conheci a LinuxTips. #Vai!!!
12,2023-05-11T12:56:52.000+0000,FALSE,SP,Show
13,2023-05-11T13:05:24.000+0000,FALSE,RS,Vocês são sensacionais <3
14,2023-05-11T13:33:49.000+0000,TRUE,SP,Espero que esta pizza esteja tão boa quanto as outras que vocês servem para comunidade
15,2023-05-11T14:19:14.000+0000,FALSE,SP,Capricha!
16,2023-05-11T14:47:39.000+0000,FALSE,SP,#VAIIII <3
17,2023-05-11T15:16:49.000+0000,FALSE,SP,Quero um evento de pizzas mesmo hahaha ia ser mto mara
18,2023-05-11T15:36:52.000+0000,TRUE,SC,null
19,2023-05-11T15:48:08.000+0000,TRUE,BA,"Aguardando muito esse treinamento. O Téo tem uma excelente didática e o Jeferson como sempre proporcionando conteúdo para os famintos por conhecimento, rs."
20,2023-05-11T16:40:11.000+0000,TRUE,SP,Brilhem e #VAAAAIIIIIII vocês são fodas
21,2023-05-11T16:45:29.000+0000,FALSE,AL,Capricha no peperoni
22,2023-05-11T17:05:02.000+0000,TRUE,SP,capricha no queijo :)
23,2023-05-11T17:22:38.000+0000,TRUE,PR,null
24,2023-05-11T17:41:33.000+0000,FALSE,PR,null
25,2023-05-11T18:02:37.000+0000,TRUE,RJ,null
26,2023-05-11T18:55:53.000+0000,FALSE,RJ,Gostosa demais!!!
27,2023-05-11T19:45:59.000+0000,TRUE,BA,Cuidado com o ponto do camarão.
28,2023-05-11T21:33:08.000+0000,FALSE,MG,TOP
29,2023-05-12T01:09:17.000+0000,FALSE,SP,Estou com uma festa em casa e o pessoal está cheio de fome. Preciso o mais rápido que possível a pizza é bem recheada. Rápido rápido eles estão aguardando ansiosos!
30,2023-05-12T09:56:30.000+0000,TRUE,SP,null
31,2023-05-12T15:13:58.000+0000,FALSE,SC,Poderia ter borda de chocolate! Hahaha
32,2023-05-12T15:17:59.000+0000,TRUE,RJ,null
33,2023-05-12T15:34:37.000+0000,FALSE,MG,null
34,2023-05-12T15:34:45.000+0000,TRUE,DF,null
35,2023-05-12T15:45:07.000+0000,TRUE,DF,Vocês são FOOOODAS!
36,2023-05-12T15:48:02.000+0000,FALSE,PB,vaiiii!
37,2023-05-12T15:48:17.000+0000,TRUE,RS,null
38,2023-05-12T15:55:35.000+0000,FALSE,BA,Quero saber qual é a forma definitiva da pronúncia de SQL! Abraço!
39,2023-05-12T16:07:08.000+0000,FALSE,DF,João 3.16
40,2023-05-12T16:19:19.000+0000,TRUE,PR,null
41,2023-05-12T16:27:09.000+0000,FALSE,DF,Vocês são demais!
42,2023-05-12T16:35:59.000+0000,FALSE,SP,null
43,2023-05-12T16:52:02.000+0000,TRUE,SP,"Vocês são massa demais, inspiração!"
44,2023-05-12T17:06:11.000+0000,TRUE,SC,null
45,2023-05-12T17:13:16.000+0000,TRUE,PR,Tu vai acabar em Pizza !!!
46,2023-05-12T18:24:24.000+0000,TRUE,SP,Capricha no queijo!
47,2023-05-12T18:35:58.000+0000,FALSE,SP,Capricha no bacon
48,2023-05-12T18:48:00.000+0000,TRUE,MS,Eu moro em Lisboa
49,2023-05-12T19:05:08.000+0000,TRUE,PI,Muito bacana essa interação!!! Sucesso!!
50,2023-05-12T19:08:02.000+0000,TRUE,SP,null
51,2023-05-12T19:21:02.000+0000,TRUE,GO,Muito queijo por favor
52,2023-05-12T19:50:08.000+0000,TRUE,SP,Sucesso!
53,2023-05-12T19:53:51.000+0000,TRUE,SP,Sem cebola rsrsrs
54,2023-05-12T20:22:35.000+0000,FALSE,SP,null
55,2023-05-12T20:47:23.000+0000,FALSE,SP,"Voces sao fera, tamo junto!"
56,2023-05-12T20:49:42.000+0000,TRUE,SC,"Entrega na portaria, por favor"
57,2023-05-12T20:54:45.000+0000,TRUE,RS,Os cursos mais fodas estão aqui na LinuxTips!
58,2023-05-12T20:55:57.000+0000,FALSE,SP,null
59,2023-05-12T21:09:39.000+0000,TRUE,RS,Vaiiiiii
60,2023-05-12T21:22:54.000+0000,FALSE,ES,VAIIIII
61,2023-05-12T21:23:58.000+0000,FALSE,RJ,null
62,2023-05-12T21:38:00.000+0000,TRUE,SC,"Parabéns pela dinâmica, deixa ainda mais divertida a tal ""arte de aprender"". Show!!"
63,2023-05-12T21:43:09.000+0000,FALSE,SP,Obrigado
64,2023-05-12T22:15:54.000+0000,FALSE,PE,null
65,2023-05-12T22:39:36.000+0000,FALSE,MT,null
66,2023-05-12T22:41:04.000+0000,FALSE,SP,Pizza bem passada
67,2023-05-12T22:46:46.000+0000,FALSE,SP,null
68,2023-05-12T23:05:46.000+0000,TRUE,SP,null
69,2023-05-12T23:08:45.000+0000,FALSE,PE,null
70,2023-05-12T23:41:49.000+0000,TRUE,SP,"Aí sim, trouxe o melhor cara de dados, agora só falta a parceria com a Databricks hahaha"
71,2023-05-13T00:03:18.000+0000,TRUE,SP,Vocês são froids
72,2023-05-13T00:57:04.000+0000,FALSE,SP,massa no fogo!
73,2023-05-13T05:39:17.000+0000,TRUE,RJ,Quando voces entregam a pizza? (haha)
74,2023-05-13T07:47:04.000+0000,FALSE,RN,Boa pra cima!
75,2023-05-13T08:38:24.000+0000,FALSE,SP,null
76,2023-05-13T08:52:14.000+0000,FALSE,MG,null
77,2023-05-13T09:01:43.000+0000,FALSE,MG,Agradeço pela boa vontade em oferecer um curso gratuito
78,2023-05-13T09:24:00.000+0000,FALSE,ES,Não deixe queimar a pizza
79,2023-05-13T09:55:56.000+0000,TRUE,RJ,"Nada de ficar fazendo malabarismo com a massa, hein"
80,2023-05-13T10:03:10.000+0000,FALSE,SP,Sorteia uns cursos pra nós
81,2023-05-13T10:38:55.000+0000,TRUE,CE,null
82,2023-05-13T11:30:18.000+0000,FALSE,SP,null
